Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Comment,Lipid/Cells,mRNA/Cells
comet,47.5,32.5,17.5,2.5,DSPC,10.55910294346675,,,
comet,47.5,32.5,17.5,2.5,DSPC,10.55910294346675,,,
comet,47.5,32.5,17.5,2.5,DSPC,10.55910294346675,,,
comet,47.5,32.5,17.5,2.5,DSPC,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.9342781498209,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.0,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DOPE,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DSPC,11.060582463790686,,,
comet,47.5,34.0,17.5,1.0,DOPE,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DOPE,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DOPE,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DOPE,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DOPE,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DSPC,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DSPC,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DSPC,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DSPC,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DSPC,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DSPC,17.705964802990188,,,
comet,47.5,34.0,17.5,1.0,DOPE,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DOPE,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DOPE,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DOPE,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DOPE,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DSPC,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DSPC,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DSPC,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DSPC,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DSPC,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DSPC,15.4742251985672,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DOPE,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.55910294346675,,,
comet,47.5,34.0,17.5,1.0,DSPC,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.9342781498209,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.0,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,11.060582463790686,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,17.705964802990188,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,15.4742251985672,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DOPE,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.55910294346675,,,
comet,35.5,16.3,47.199999999999996,1.0,DSPC,10.55910294346675,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.9342781498209,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.0,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,11.060582463790686,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,17.705964802990188,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,15.4742251985672,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.55910294346675,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.55910294346675,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.55910294346675,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.55910294346675,,,
comet,34.1,15.6,45.300000000000004,5.0,DOPE,10.55910294346675,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.55910294346675,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.55910294346675,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.55910294346675,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.55910294346675,,,
comet,34.1,15.6,45.300000000000004,5.0,DSPC,10.55910294346675,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.9342781498209,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.0,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,11.060582463790686,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,17.705964802990188,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,15.4742251985672,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.55910294346675,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.55910294346675,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.55910294346675,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.55910294346675,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DOPE,10.55910294346675,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.55910294346675,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.55910294346675,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.55910294346675,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.55910294346675,,,
comet,32.300000000000004,14.799999999999999,42.9,10.0,DSPC,10.55910294346675,,,
comet,35.0,16.0,46.5,2.5,DOPE,23.8685562996418,,,
comet,35.0,16.0,46.5,2.5,DSPC,23.8685562996418,,,
comet,35.0,16.0,46.5,2.5,DOPE,23.8685562996418,,,
comet,35.0,16.0,46.5,2.5,DSPC,23.8685562996418,,,
comet,35.0,16.0,46.5,2.5,DOPE,23.8685562996418,,,
comet,35.0,16.0,46.5,2.5,DOPE,20.0,,,
comet,35.0,16.0,46.5,2.5,DSPC,20.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,20.0,,,
comet,35.0,16.0,46.5,2.5,DSPC,20.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,20.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,20.0,,,
comet,35.0,16.0,46.5,2.5,DSPC,20.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,20.0,,,
comet,35.0,16.0,46.5,2.5,DSPC,20.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,20.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,22.121164927581372,,,
comet,35.0,16.0,46.5,2.5,DSPC,22.121164927581372,,,
comet,35.0,16.0,46.5,2.5,DOPE,22.121164927581372,,,
comet,35.0,16.0,46.5,2.5,DSPC,22.121164927581372,,,
comet,35.0,16.0,46.5,2.5,DOPE,22.121164927581372,,,
comet,35.0,16.0,46.5,2.5,DOPE,35.411929605980376,,,
comet,35.0,16.0,46.5,2.5,DSPC,35.411929605980376,,,
comet,35.0,16.0,46.5,2.5,DOPE,35.411929605980376,,,
comet,35.0,16.0,46.5,2.5,DSPC,35.411929605980376,,,
comet,35.0,16.0,46.5,2.5,DOPE,35.411929605980376,,,
comet,35.0,16.0,46.5,2.5,DOPE,21.1182058869335,,,
comet,35.0,16.0,46.5,2.5,DSPC,21.1182058869335,,,
comet,35.0,16.0,46.5,2.5,DOPE,21.1182058869335,,,
comet,35.0,16.0,46.5,2.5,DSPC,21.1182058869335,,,
comet,35.0,16.0,46.5,2.5,DOPE,21.1182058869335,,,
comet,35.0,16.0,46.5,2.5,DOPE,30.9484503971344,,,
comet,35.0,16.0,46.5,2.5,DSPC,30.9484503971344,,,
comet,35.0,16.0,46.5,2.5,DOPE,30.9484503971344,,,
comet,35.0,16.0,46.5,2.5,DSPC,30.9484503971344,,,
comet,35.0,16.0,46.5,2.5,DOPE,30.9484503971344,,,
comet,35.0,16.0,46.5,2.5,DOPE,11.9342781498209,,,
comet,35.0,16.0,46.5,2.5,DSPC,11.9342781498209,,,
comet,35.0,16.0,46.5,2.5,DOPE,11.9342781498209,,,
comet,35.0,16.0,46.5,2.5,DSPC,11.9342781498209,,,
comet,35.0,16.0,46.5,2.5,DOPE,11.9342781498209,,,
comet,35.0,16.0,46.5,2.5,DOPE,10.0,,,
comet,35.0,16.0,46.5,2.5,DSPC,10.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,10.0,,,
comet,35.0,16.0,46.5,2.5,DSPC,10.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,10.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,10.0,,,
comet,35.0,16.0,46.5,2.5,DSPC,10.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,10.0,,,
comet,35.0,16.0,46.5,2.5,DSPC,10.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,10.0,,,
comet,35.0,16.0,46.5,2.5,DOPE,11.060582463790686,,,
comet,35.0,16.0,46.5,2.5,DSPC,11.060582463790686,,,
comet,35.0,16.0,46.5,2.5,DOPE,11.060582463790686,,,
comet,35.0,16.0,46.5,2.5,DSPC,11.060582463790686,,,
comet,35.0,16.0,46.5,2.5,DOPE,11.060582463790686,,,
comet,35.0,16.0,46.5,2.5,DOPE,17.705964802990188,,,
comet,35.0,16.0,46.5,2.5,DSPC,17.705964802990188,,,
comet,35.0,16.0,46.5,2.5,DOPE,17.705964802990188,,,
comet,35.0,16.0,46.5,2.5,DSPC,17.705964802990188,,,
comet,35.0,16.0,46.5,2.5,DOPE,17.705964802990188,,,
comet,35.0,16.0,46.5,2.5,DOPE,10.55910294346675,,,
comet,35.0,16.0,46.5,2.5,DSPC,10.55910294346675,,,
comet,35.0,16.0,46.5,2.5,DOPE,10.55910294346675,,,
comet,35.0,16.0,46.5,2.5,DSPC,10.55910294346675,,,
comet,35.0,16.0,46.5,2.5,DOPE,10.55910294346675,,,
comet,35.0,16.0,46.5,2.5,DOPE,15.4742251985672,,,
comet,35.0,16.0,46.5,2.5,DSPC,15.4742251985672,,,
comet,35.0,16.0,46.5,2.5,DOPE,15.4742251985672,,,
comet,35.0,16.0,46.5,2.5,DSPC,15.4742251985672,,,
